File,Line,Error type,Message,Fixability
api-detail/content-management-api.md,4282,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4298,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4318,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4336,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4352,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4565,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4595,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4739,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4758,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4777,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4794,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4816,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4844,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4866,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4893,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4920,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4944,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4968,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,4996,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5024,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5064,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5092,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5122,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5150,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5231,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5247,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5268,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5294,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5325,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5341,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5357,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5373,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5393,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5411,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5429,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5444,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5459,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5477,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5551,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5571,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5594,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5609,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5630,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5652,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5673,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5700,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5717,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5736,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5755,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,5772,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,6046,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,6061,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,6078,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,6113,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,6146,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,6171,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,6189,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,6289,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,6305,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,6326,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,6341,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,6357,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,6376,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-management-api.md,37,ALL CAPS word,"ALL CAPS word ""NET"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,2509,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,3497,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,5253,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9527,ALL CAPS word,"ALL CAPS word ""PUSH"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9527,ALL CAPS word,"ALL CAPS word ""PULL"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9527,ALL CAPS word,"ALL CAPS word ""UPDATE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9527,ALL CAPS word,"ALL CAPS word ""ADD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9527,ALL CAPS word,"ALL CAPS word ""SUB"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9529,ALL CAPS word,"ALL CAPS word ""PUSH"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9531,ALL CAPS word,"ALL CAPS word ""PUSH"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9536,ALL CAPS word,"ALL CAPS word ""PUSH"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9538,ALL CAPS word,"ALL CAPS word ""PUSH"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9555,ALL CAPS word,"ALL CAPS word ""PUSH"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9571,ALL CAPS word,"ALL CAPS word ""PULL"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9592,ALL CAPS word,"ALL CAPS word ""PUSH"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9600,ALL CAPS word,"ALL CAPS word ""PUSH"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9651,ALL CAPS word,"ALL CAPS word ""PULL"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9658,ALL CAPS word,"ALL CAPS word ""PULL"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9677,ALL CAPS word,"ALL CAPS word ""PULL"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9695,ALL CAPS word,"ALL CAPS word ""PULL"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9696,ALL CAPS word,"ALL CAPS word ""PULL"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9696,ALL CAPS word,"ALL CAPS word ""ONE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9696,ALL CAPS word,"ALL CAPS word ""PULL"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9697,ALL CAPS word,"ALL CAPS word ""PULL"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9699,ALL CAPS word,"ALL CAPS word ""UPDATE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9720,ALL CAPS word,"ALL CAPS word ""PULL"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9769,ALL CAPS word,"ALL CAPS word ""UPDATE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9774,ALL CAPS word,"ALL CAPS word ""UPDATE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9776,ALL CAPS word,"ALL CAPS word ""UPDATE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9791,ALL CAPS word,"ALL CAPS word ""UPDATE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9793,ALL CAPS word,"ALL CAPS word ""UPDATE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9817,ALL CAPS word,"ALL CAPS word ""UPDATE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9819,ALL CAPS word,"ALL CAPS word ""UPDATE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9853,ALL CAPS word,"ALL CAPS word ""UPDATE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9857,ALL CAPS word,"ALL CAPS word ""ADD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9857,ALL CAPS word,"ALL CAPS word ""SUB"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9859,ALL CAPS word,"ALL CAPS word ""ADD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9880,ALL CAPS word,"ALL CAPS word ""UPDATE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9928,ALL CAPS word,"ALL CAPS word ""ADD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9933,ALL CAPS word,"ALL CAPS word ""ADD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9935,ALL CAPS word,"ALL CAPS word ""ADD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9937,ALL CAPS word,"ALL CAPS word ""SUB"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,9958,ALL CAPS word,"ALL CAPS word ""ADD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,10003,ALL CAPS word,"ALL CAPS word ""SUB"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,10008,ALL CAPS word,"ALL CAPS word ""SUB"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,10008,ALL CAPS word,"ALL CAPS word ""ADD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,10010,ALL CAPS word,"ALL CAPS word ""SUB"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,10031,ALL CAPS word,"ALL CAPS word ""SUB"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,10831,ALL CAPS word,"ALL CAPS word ""NOT"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,10837,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,10895,ALL CAPS word,"ALL CAPS word ""NONE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,10896,ALL CAPS word,"ALL CAPS word ""NONE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,10956,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,12769,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,12820,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,13970,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,18600,ALL CAPS word,"ALL CAPS word ""UAT"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,22205,ALL CAPS word,"ALL CAPS word ""UTC"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,24177,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,24177,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,26772,ALL CAPS word,"ALL CAPS word ""README"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,26805,ALL CAPS word,"ALL CAPS word ""VARIABLE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,26805,ALL CAPS word,"ALL CAPS word ""INITIAL"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,26805,ALL CAPS word,"ALL CAPS word ""VALUE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,26848,ALL CAPS word,"ALL CAPS word ""README"" — use bold or a known acronym",Allowlist / manual
api-detail/content-management-api.md,8,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,9,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,10,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,11,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,12,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,13,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,14,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,1312,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,1377,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,1424,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,9620,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,11781,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,11913,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,11931,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,11994,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,12038,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,12144,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,12188,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,14980,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,15010,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,15598,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,15636,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,15964,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,21304,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,21365,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/generative-ai-api.md,,Frontmatter,"frontmatter 'url' ""generative-ai-api"" should start with https:// or /",Programmatic fix
api-detail/generative-ai-api.md,46,Punctuation / style,"""e.g."" must be followed by a comma — use ""e.g.,""",Manual content edit
api-detail/generative-ai-api.md,56,Semicolon,Semicolon (;) not permitted — split into two sentences,Manual content edit
api-detail/generative-ai-api.md,135,Double space,Double space found,Manual content edit
api-detail/generative-ai-api.md,136,Double space,Double space found,Manual content edit
api-detail/generative-ai-api.md,206,Double space,Double space found,Manual content edit
api-detail/generative-ai-api.md,56,Vague adverb,"Vague adverb ""very"" — replace with specific language",Manual content edit
api-detail/generative-ai-api.md,210,Future tense,"Future tense ""will be"" — rewrite in present tense",Manual content edit
api-detail/generative-ai-api.md,111,Future tense,"Future tense ""will need to"" — rewrite in present tense",Manual content edit
api-detail/generative-ai-api.md,222,Future tense,"Future tense ""will allow you"" — rewrite in present tense",Manual content edit
api-detail/generative-ai-api.md,222,Future tense,"Future tense ""will allow"" — rewrite in present tense",Manual content edit
api-detail/generative-ai-api.md,25,Future tense,"Future tense ""will return"" — rewrite in present tense",Manual content edit
api-detail/generative-ai-api.md,42,Future tense,"Future tense ""will receive"" — rewrite in present tense",Manual content edit
api-detail/generative-ai-api.md,210,Future tense,"Future tense ""will be able to"" — rewrite in present tense",Manual content edit
api-detail/generative-ai-api.md,25,Future tense,"Future tense ""will"" — rewrite in present tense",Manual content edit
api-detail/generative-ai-api.md,247,ALL CAPS word,"ALL CAPS word ""VARIABLE"" — use bold or a known acronym",Allowlist / manual
api-detail/generative-ai-api.md,247,ALL CAPS word,"ALL CAPS word ""INITIAL"" — use bold or a known acronym",Allowlist / manual
api-detail/generative-ai-api.md,247,ALL CAPS word,"ALL CAPS word ""VALUE"" — use bold or a known acronym",Allowlist / manual
api-detail/generative-ai-api.md,16,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/generative-ai-api.md,17,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/generative-ai-api.md,18,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/generative-ai-api.md,19,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/generative-ai-api.md,20,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/generative-ai-api.md,21,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/generative-ai-api.md,22,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/graphql-content-delivery-api/explorer.md,,Frontmatter,"frontmatter 'url' ""graphql-content-delivery-api/explorer"" should start with https:// or /",Programmatic fix
api-detail/graphql-content-delivery-api-explorer.md,,Frontmatter,"frontmatter 'url' ""graphql-content-delivery-api/explorer"" should start with https:// or /",Programmatic fix
api-detail/graphql-content-delivery-api.md,,Frontmatter,"frontmatter 'url' ""graphql-content-delivery-api"" should start with https:// or /",Programmatic fix
api-detail/graphql-content-delivery-api.md,87,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,95,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,108,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,649,Semicolon,Semicolon (;) not permitted — split into two sentences,Manual content edit
api-detail/graphql-content-delivery-api.md,649,Punctuation / style,"""e.g."" must be followed by a comma — use ""e.g.,""",Manual content edit
api-detail/graphql-content-delivery-api.md,1681,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1682,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1683,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1684,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1685,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1686,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1688,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1693,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1694,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1695,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1696,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1697,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1700,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1701,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1702,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1703,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1704,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1706,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1707,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1714,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1772,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1792,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1793,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1804,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1805,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1806,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1807,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1808,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1809,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1810,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1811,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1812,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1813,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1814,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1815,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1816,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1817,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1820,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1830,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1831,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1832,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1833,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1845,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1846,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1847,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1848,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1849,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1850,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1851,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,1852,Double space,Double space found,Manual content edit
api-detail/graphql-content-delivery-api.md,165,Vague adverb,"Vague adverb ""really"" — replace with specific language",Manual content edit
api-detail/graphql-content-delivery-api.md,1863,Vague adverb,"Vague adverb ""actually"" — replace with specific language",Manual content edit
api-detail/graphql-content-delivery-api.md,1767,Vague adverb,"Vague adverb ""generally"" — replace with specific language",Manual content edit
api-detail/graphql-content-delivery-api.md,1762,Vague adverb,"Vague adverb ""completely"" — replace with specific language",Manual content edit
api-detail/graphql-content-delivery-api.md,378,Future tense,"Future tense ""will be"" — rewrite in present tense",Manual content edit
api-detail/graphql-content-delivery-api.md,352,Future tense,"Future tense ""will have"" — rewrite in present tense",Manual content edit
api-detail/graphql-content-delivery-api.md,2077,Future tense,"Future tense ""will need to"" — rewrite in present tense",Manual content edit
api-detail/graphql-content-delivery-api.md,1548,Future tense,"Future tense ""will display"" — rewrite in present tense",Manual content edit
api-detail/graphql-content-delivery-api.md,779,Future tense,"Future tense ""will appear"" — rewrite in present tense",Manual content edit
api-detail/graphql-content-delivery-api.md,63,Future tense,"Future tense ""will return"" — rewrite in present tense",Manual content edit
api-detail/graphql-content-delivery-api.md,1764,Future tense,"Future tense ""will receive"" — rewrite in present tense",Manual content edit
api-detail/graphql-content-delivery-api.md,396,Future tense,"Future tense ""will fetch"" — rewrite in present tense",Manual content edit
api-detail/graphql-content-delivery-api.md,1820,Future tense,"Future tense ""will be able to"" — rewrite in present tense",Manual content edit
api-detail/graphql-content-delivery-api.md,1041,Future tense,"Future tense ""will also"" — rewrite in present tense",Manual content edit
api-detail/graphql-content-delivery-api.md,63,Future tense,"Future tense ""will"" — rewrite in present tense",Manual content edit
api-detail/graphql-content-delivery-api.md,2053,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/graphql-content-delivery-api.md,777,ALL CAPS word,"ALL CAPS word ""ECMA"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,777,ALL CAPS word,"ALL CAPS word ""ECMA"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,777,ALL CAPS word,"ALL CAPS word ""ECMA"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,1032,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,1056,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,1774,ALL CAPS word,"ALL CAPS word ""MATCH"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,1776,ALL CAPS word,"ALL CAPS word ""ALL"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,1776,ALL CAPS word,"ALL CAPS word ""ALL"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,1777,ALL CAPS word,"ALL CAPS word ""ANY"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,1777,ALL CAPS word,"ALL CAPS word ""ANY"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,1779,ALL CAPS word,"ALL CAPS word ""MATCH"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,1779,ALL CAPS word,"ALL CAPS word ""ALL"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,1781,ALL CAPS word,"ALL CAPS word ""LED"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,1781,ALL CAPS word,"ALL CAPS word ""MATCH"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,1781,ALL CAPS word,"ALL CAPS word ""ANY"" — use bold or a known acronym",Allowlist / manual
api-detail/graphql-content-delivery-api.md,1941,ALL CAPS word,"ALL CAPS word ""AND"" — use bold or a known acronym",Allowlist / manual
